series_id,check_timestamp,data_available,response_time_ms,record_count,last_period,error_message
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.ASSOC.levels.Q,2025-07-13T17:38:47.884748,1,1118,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.ASSOC.levels.Q,2025-07-13T17:38:56.250612,1,319,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CG.levels.Q,2025-07-13T17:38:56.636669,1,372,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CA.levels.Q,2025-07-13T17:38:56.870879,1,938,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CH.levels.Q,2025-07-13T17:38:57.028648,1,352,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CD.levels.Q,2025-07-13T17:38:57.067533,1,1135,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.BZ.levels.Q,2025-07-13T17:38:57.106936,1,1175,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CC.levels.Q,2025-07-13T17:38:57.136434,1,1204,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.BTP.levels.Q,2025-07-13T17:38:57.138510,1,1207,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CE.levels.Q,2025-07-13T17:38:57.118749,1,1186,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CF.levels.Q,2025-07-13T17:38:57.087508,1,1155,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CAISSE_CONGES.levels.Q,2025-07-13T17:38:57.144249,1,1212,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CB.levels.Q,2025-07-13T17:38:57.139009,1,1207,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CI.levels.Q,2025-07-13T17:38:57.279122,1,382,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CJ.levels.Q,2025-07-13T17:38:57.442274,1,388,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CK.levels.Q,2025-07-13T17:38:57.501018,1,406,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CL.levels.Q,2025-07-13T17:38:57.510592,1,376,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CM.levels.Q,2025-07-13T17:38:57.534673,1,375,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CONC_INSEE.levels.Q,2025-07-13T17:38:57.578399,1,378,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.DZ.levels.Q,2025-07-13T17:38:57.578682,1,350,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.FZ.levels.Q,2025-07-13T17:38:57.659254,1,368,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.GZ.levels.Q,2025-07-13T17:38:57.684499,1,363,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.HZ.levels.Q,2025-07-13T17:38:57.742518,1,390,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.EZ.levels.Q,2025-07-13T17:38:57.656640,1,398,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.INDUSTRIE.levels.Q,2025-07-13T17:38:57.853644,1,386,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.ISBLSM.levels.Q,2025-07-13T17:38:57.919939,1,368,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.INTERIM.levels.Q,2025-07-13T17:38:57.919986,1,392,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.IZ.levels.Q,2025-07-13T17:38:57.983424,1,386,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.JB.levels.Q,2025-07-13T17:38:58.023402,1,353,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.JA.levels.Q,2025-07-13T17:38:58.011122,1,381,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.JC.levels.Q,2025-07-13T17:38:58.080674,1,372,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.KZ.levels.Q,2025-07-13T17:38:58.136580,1,397,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.LZ.levels.Q,2025-07-13T17:38:58.150196,1,382,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MA.levels.Q,2025-07-13T17:38:58.194942,1,393,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MB.levels.Q,2025-07-13T17:38:58.250650,1,371,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MC.levels.Q,2025-07-13T17:38:58.310696,1,361,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N30.levels.Q,2025-07-13T17:38:58.354958,1,334,108,,
