series_id,dimension_key,dimension_value,scraped_at
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.ASSOC.levels.Q,freq,Q,2025-07-13T17:38:56.256346
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.ASSOC.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:56.256417
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.ASSOC.levels.Q,measurement,levels,2025-07-13T17:38:56.256424
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.ASSOC.levels.Q,sector,ASSOC,2025-07-13T17:38:56.256428
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CG.levels.Q,freq,Q,2025-07-13T17:38:56.668395
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CG.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:56.668461
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CG.levels.Q,measurement,levels,2025-07-13T17:38:56.668467
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CG.levels.Q,sector,CG,2025-07-13T17:38:56.668471
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CA.levels.Q,freq,Q,2025-07-13T17:38:56.890090
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CA.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:56.890155
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CA.levels.Q,measurement,levels,2025-07-13T17:38:56.890162
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CA.levels.Q,sector,CA,2025-07-13T17:38:56.890166
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CH.levels.Q,freq,Q,2025-07-13T17:38:57.046412
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CH.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.046470
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CH.levels.Q,measurement,levels,2025-07-13T17:38:57.046476
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CH.levels.Q,sector,CH,2025-07-13T17:38:57.046480
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CD.levels.Q,freq,Q,2025-07-13T17:38:57.086702
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CD.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.086785
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CD.levels.Q,measurement,levels,2025-07-13T17:38:57.086792
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CD.levels.Q,sector,CD,2025-07-13T17:38:57.086796
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.BZ.levels.Q,freq,Q,2025-07-13T17:38:57.126787
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.BZ.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.126848
