id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
CP1000ATM086NEST,2024-09-18,2024-09-18,Harmonized Index of Consumer Prices: Education for Austria,1996-01-01,2024-07-01,Monthly,M,Index 2015=100,Index 2015=100,Not Seasonally Adjusted,NSA,2024-08-20 07:10:14-05:00,1,"The Harmonized Index of Consumer Prices category ""Education (10)"" is a classification of services that includes educational services; education by radio or television broadcasting; literacy programs for students too old for primary school; out-of-school secondary education for adults and young people; out-of-school post-secondary non-tertiary education for adults and young people; and educational programs, generally for adults, which do not require any special prior instruction, in particular vocational training and cultural development.  Education (10) excludes expenditures on educational materials, such as books (09.5.1) and stationery (09.5.4), or education support services, such as health care services (06), transport services (07.3), catering services (11.1.2), accommodation services (11.2.0), driving lessons (07.2.4), and recreational training courses such as sport or bridge lessons given by independent teachers (09.4.1). The breakdown of educational services is based upon the level categories of the 1997 International Standard Classification of Education (ISCED-97) of the United Nations Educational, Scientific and Cultural Organization (UNESCO).  This covers COICOP groups 10.1/2/3/4. Levels 0 and 1 of ISCED-97 are pre-primary and primary education. Levels 2 and 3 of ISCED-97 are lower-secondary and upper-secondary education. Level 4 of ISCED-97 are post-secondary non-tertiary education. Levels 5 and 6 of ISCED-97 are first stage and second stage of tertiary education.  Information provided in the notes pertaining to HICP classifications can be found from the source at: http://ec.europa.eu/eurostat/cache/metadata/en/prc_hicp_esms.htm.  Copyright, European Union, 1995-2016, http://ec.europa.eu/geninfo/legal_notices_en.htm#copyright."
CP1000BEM086NEST,2024-09-18,2024-09-18,Harmonized Index of Consumer Prices: Education for Belgium,1999-12-01,2024-07-01,Monthly,M,Index 2015=100,Index 2015=100,Not Seasonally Adjusted,NSA,2024-08-20 07:10:13-05:00,1,"The Harmonized Index of Consumer Prices category ""Education (10)"" is a classification of services that includes educational services; education by radio or television broadcasting; literacy programs for students too old for primary school; out-of-school secondary education for adults and young people; out-of-school post-secondary non-tertiary education for adults and young people; and educational programs, generally for adults, which do not require any special prior instruction, in particular vocational training and cultural development.  Education (10) excludes expenditures on educational materials, such as books (09.5.1) and stationery (09.5.4), or education support services, such as health care services (06), transport services (07.3), catering services (11.1.2), accommodation services (11.2.0), driving lessons (07.2.4), and recreational training courses such as sport or bridge lessons given by independent teachers (09.4.1). The breakdown of educational services is based upon the level categories of the 1997 International Standard Classification of Education (ISCED-97) of the United Nations Educational, Scientific and Cultural Organization (UNESCO).  This covers COICOP groups 10.1/2/3/4. Levels 0 and 1 of ISCED-97 are pre-primary and primary education. Levels 2 and 3 of ISCED-97 are lower-secondary and upper-secondary education. Level 4 of ISCED-97 are post-secondary non-tertiary education. Levels 5 and 6 of ISCED-97 are first stage and second stage of tertiary education.  Information provided in the notes pertaining to HICP classifications can be found from the source at: http://ec.europa.eu/eurostat/cache/metadata/en/prc_hicp_esms.htm.  Copyright, European Union, 1995-2016, http://ec.europa.eu/geninfo/legal_notices_en.htm#copyright."
CP1000BGM086NEST,2024-09-18,2024-09-18,Harmonized Index of Consumer Prices: Education for Bulgaria,1996-12-01,2024-07-01,Monthly,M,Index 2015=100,Index 2015=100,Not Seasonally Adjusted,NSA,2024-08-20 07:10:13-05:00,1,"The Harmonized Index of Consumer Prices category ""Education (10)"" is a classification of services that includes educational services; education by radio or television broadcasting; literacy programs for students too old for primary school; out-of-school secondary education for adults and young people; out-of-school post-secondary non-tertiary education for adults and young people; and educational programs, generally for adults, which do not require any special prior instruction, in particular vocational training and cultural development.  Education (10) excludes expenditures on educational materials, such as books (09.5.1) and stationery (09.5.4), or education support services, such as health care services (06), transport services (07.3), catering services (11.1.2), accommodation services (11.2.0), driving lessons (07.2.4), and recreational training courses such as sport or bridge lessons given by independent teachers (09.4.1). The breakdown of educational services is based upon the level categories of the 1997 International Standard Classification of Education (ISCED-97) of the United Nations Educational, Scientific and Cultural Organization (UNESCO).  This covers COICOP groups 10.1/2/3/4. Levels 0 and 1 of ISCED-97 are pre-primary and primary education. Levels 2 and 3 of ISCED-97 are lower-secondary and upper-secondary education. Level 4 of ISCED-97 are post-secondary non-tertiary education. Levels 5 and 6 of ISCED-97 are first stage and second stage of tertiary education.  Information provided in the notes pertaining to HICP classifications can be found from the source at: http://ec.europa.eu/eurostat/cache/metadata/en/prc_hicp_esms.htm.  Copyright, European Union, 1995-2016, http://ec.europa.eu/geninfo/legal_notices_en.htm#copyright."
CP1000CHM086NEST,2024-09-18,2024-09-18,Harmonized Index of Consumer Prices: Education for Switzerland,2004-12-01,2024-07-01,Monthly,M,Index 2015=100,Index 2015=100,Not Seasonally Adjusted,NSA,2024-08-20 07:10:13-05:00,1,"The Harmonized Index of Consumer Prices category ""Education (10)"" is a classification of services that includes educational services; education by radio or television broadcasting; literacy programs for students too old for primary school; out-of-school secondary education for adults and young people; out-of-school post-secondary non-tertiary education for adults and young people; and educational programs, generally for adults, which do not require any special prior instruction, in particular vocational training and cultural development.  Education (10) excludes expenditures on educational materials, such as books (09.5.1) and stationery (09.5.4), or education support services, such as health care services (06), transport services (07.3), catering services (11.1.2), accommodation services (11.2.0), driving lessons (07.2.4), and recreational training courses such as sport or bridge lessons given by independent teachers (09.4.1). The breakdown of educational services is based upon the level categories of the 1997 International Standard Classification of Education (ISCED-97) of the United Nations Educational, Scientific and Cultural Organization (UNESCO).  This covers COICOP groups 10.1/2/3/4. Levels 0 and 1 of ISCED-97 are pre-primary and primary education. Levels 2 and 3 of ISCED-97 are lower-secondary and upper-secondary education. Level 4 of ISCED-97 are post-secondary non-tertiary education. Levels 5 and 6 of ISCED-97 are first stage and second stage of tertiary education.  Information provided in the notes pertaining to HICP classifications can be found from the source at: http://ec.europa.eu/eurostat/cache/metadata/en/prc_hicp_esms.htm.  Copyright, European Union, 1995-2016, http://ec.europa.eu/geninfo/legal_notices_en.htm#copyright."
CP1000CYM086NEST,2024-09-18,2024-09-18,Harmonized Index of Consumer Prices: Education for Cyprus,1996-01-01,2024-07-01,Monthly,M,Index 2015=100,Index 2015=100,Not Seasonally Adjusted,NSA,2024-08-20 07:10:13-05:00,1,"The Harmonized Index of Consumer Prices category ""Education (10)"" is a classification of services that includes educational services; education by radio or television broadcasting; literacy programs for students too old for primary school; out-of-school secondary education for adults and young people; out-of-school post-secondary non-tertiary education for adults and young people; and educational programs, generally for adults, which do not require any special prior instruction, in particular vocational training and cultural development.  Education (10) excludes expenditures on educational materials, such as books (09.5.1) and stationery (09.5.4), or education support services, such as health care services (06), transport services (07.3), catering services (11.1.2), accommodation services (11.2.0), driving lessons (07.2.4), and recreational training courses such as sport or bridge lessons given by independent teachers (09.4.1). The breakdown of educational services is based upon the level categories of the 1997 International Standard Classification of Education (ISCED-97) of the United Nations Educational, Scientific and Cultural Organization (UNESCO).  This covers COICOP groups 10.1/2/3/4. Levels 0 and 1 of ISCED-97 are pre-primary and primary education. Levels 2 and 3 of ISCED-97 are lower-secondary and upper-secondary education. Level 4 of ISCED-97 are post-secondary non-tertiary education. Levels 5 and 6 of ISCED-97 are first stage and second stage of tertiary education.  Information provided in the notes pertaining to HICP classifications can be found from the source at: http://ec.europa.eu/eurostat/cache/metadata/en/prc_hicp_esms.htm.  Copyright, European Union, 1995-2016, http://ec.europa.eu/geninfo/legal_notices_en.htm#copyright."
CP1000CZM086NEST,2024-09-18,2024-09-18,Harmonized Index of Consumer Prices: Education for Czech Republic,1996-01-01,2024-07-01,Monthly,M,Index 2015=100,Index 2015=100,Not Seasonally Adjusted,NSA,2024-08-20 07:10:13-05:00,1,"The Harmonized Index of Consumer Prices category ""Education (10)"" is a classification of services that includes educational services; education by radio or television broadcasting; literacy programs for students too old for primary school; out-of-school secondary education for adults and young people; out-of-school post-secondary non-tertiary education for adults and young people; and educational programs, generally for adults, which do not require any special prior instruction, in particular vocational training and cultural development.  Education (10) excludes expenditures on educational materials, such as books (09.5.1) and stationery (09.5.4), or education support services, such as health care services (06), transport services (07.3), catering services (11.1.2), accommodation services (11.2.0), driving lessons (07.2.4), and recreational training courses such as sport or bridge lessons given by independent teachers (09.4.1). The breakdown of educational services is based upon the level categories of the 1997 International Standard Classification of Education (ISCED-97) of the United Nations Educational, Scientific and Cultural Organization (UNESCO).  This covers COICOP groups 10.1/2/3/4. Levels 0 and 1 of ISCED-97 are pre-primary and primary education. Levels 2 and 3 of ISCED-97 are lower-secondary and upper-secondary education. Level 4 of ISCED-97 are post-secondary non-tertiary education. Levels 5 and 6 of ISCED-97 are first stage and second stage of tertiary education.  Information provided in the notes pertaining to HICP classifications can be found from the source at: http://ec.europa.eu/eurostat/cache/metadata/en/prc_hicp_esms.htm.  Copyright, European Union, 1995-2016, http://ec.europa.eu/geninfo/legal_notices_en.htm#copyright."
CP1000DEM086NEST,2024-09-18,2024-09-18,Harmonized Index of Consumer Prices: Education for Germany (including former GDR from 1991),1996-01-01,2024-07-01,Monthly,M,Index 2015=100,Index 2015=100,Not Seasonally Adjusted,NSA,2024-08-20 07:07:07-05:00,1,"The Harmonized Index of Consumer Prices category ""Education (10)"" is a classification of services that includes educational services; education by radio or television broadcasting; literacy programs for students too old for primary school; out-of-school secondary education for adults and young people; out-of-school post-secondary non-tertiary education for adults and young people; and educational programs, generally for adults, which do not require any special prior instruction, in particular vocational training and cultural development.  Education (10) excludes expenditures on educational materials, such as books (09.5.1) and stationery (09.5.4), or education support services, such as health care services (06), transport services (07.3), catering services (11.1.2), accommodation services (11.2.0), driving lessons (07.2.4), and recreational training courses such as sport or bridge lessons given by independent teachers (09.4.1). The breakdown of educational services is based upon the level categories of the 1997 International Standard Classification of Education (ISCED-97) of the United Nations Educational, Scientific and Cultural Organization (UNESCO).  This covers COICOP groups 10.1/2/3/4. Levels 0 and 1 of ISCED-97 are pre-primary and primary education. Levels 2 and 3 of ISCED-97 are lower-secondary and upper-secondary education. Level 4 of ISCED-97 are post-secondary non-tertiary education. Levels 5 and 6 of ISCED-97 are first stage and second stage of tertiary education.  Information provided in the notes pertaining to HICP classifications can be found from the source at: http://ec.europa.eu/eurostat/cache/metadata/en/prc_hicp_esms.htm.  Copyright, European Union, 1995-2016, http://ec.europa.eu/geninfo/legal_notices_en.htm#copyright."
CP1000DKM086NEST,2024-09-18,2024-09-18,Harmonized Index of Consumer Prices: Education for Denmark,1996-01-01,2024-07-01,Monthly,M,Index 2015=100,Index 2015=100,Not Seasonally Adjusted,NSA,2024-08-20 07:10:13-05:00,1,"The Harmonized Index of Consumer Prices category ""Education (10)"" is a classification of services that includes educational services; education by radio or television broadcasting; literacy programs for students too old for primary school; out-of-school secondary education for adults and young people; out-of-school post-secondary non-tertiary education for adults and young people; and educational programs, generally for adults, which do not require any special prior instruction, in particular vocational training and cultural development.  Education (10) excludes expenditures on educational materials, such as books (09.5.1) and stationery (09.5.4), or education support services, such as health care services (06), transport services (07.3), catering services (11.1.2), accommodation services (11.2.0), driving lessons (07.2.4), and recreational training courses such as sport or bridge lessons given by independent teachers (09.4.1). The breakdown of educational services is based upon the level categories of the 1997 International Standard Classification of Education (ISCED-97) of the United Nations Educational, Scientific and Cultural Organization (UNESCO).  This covers COICOP groups 10.1/2/3/4. Levels 0 and 1 of ISCED-97 are pre-primary and primary education. Levels 2 and 3 of ISCED-97 are lower-secondary and upper-secondary education. Level 4 of ISCED-97 are post-secondary non-tertiary education. Levels 5 and 6 of ISCED-97 are first stage and second stage of tertiary education.  Information provided in the notes pertaining to HICP classifications can be found from the source at: http://ec.europa.eu/eurostat/cache/metadata/en/prc_hicp_esms.htm.  Copyright, European Union, 1995-2016, http://ec.europa.eu/geninfo/legal_notices_en.htm#copyright."
CP1000E3CCM086NEST,2024-09-18,2024-09-18,"Harmonized Index of Consumer Prices: Education for European Economic Area (EEA18-2004, EEA28-2006, EEA30)",1996-01-01,2024-07-01,Monthly,M,Index 2015=100,Index 2015=100,Not Seasonally Adjusted,NSA,2024-08-20 07:10:13-05:00,1,"The Harmonized Index of Consumer Prices category ""Education (10)"" is a classification of services that includes educational services; education by radio or television broadcasting; literacy programs for students too old for primary school; out-of-school secondary education for adults and young people; out-of-school post-secondary non-tertiary education for adults and young people; and educational programs, generally for adults, which do not require any special prior instruction, in particular vocational training and cultural development.  Education (10) excludes expenditures on educational materials, such as books (09.5.1) and stationery (09.5.4), or education support services, such as health care services (06), transport services (07.3), catering services (11.1.2), accommodation services (11.2.0), driving lessons (07.2.4), and recreational training courses such as sport or bridge lessons given by independent teachers (09.4.1). The breakdown of educational services is based upon the level categories of the 1997 International Standard Classification of Education (ISCED-97) of the United Nations Educational, Scientific and Cultural Organization (UNESCO).  This covers COICOP groups 10.1/2/3/4. Levels 0 and 1 of ISCED-97 are pre-primary and primary education. Levels 2 and 3 of ISCED-97 are lower-secondary and upper-secondary education. Level 4 of ISCED-97 are post-secondary non-tertiary education. Levels 5 and 6 of ISCED-97 are first stage and second stage of tertiary education.  Information provided in the notes pertaining to HICP classifications can be found from the source at: http://ec.europa.eu/eurostat/cache/metadata/en/prc_hicp_esms.htm.  Copyright, European Union, 1995-2016, http://ec.europa.eu/geninfo/legal_notices_en.htm#copyright."
CP1000EEM086NEST,2024-09-18,2024-09-18,Harmonized Index of Consumer Prices: Education for Estonia,1996-01-01,2024-07-01,Monthly,M,Index 2015=100,Index 2015=100,Not Seasonally Adjusted,NSA,2024-08-20 07:10:13-05:00,1,"The Harmonized Index of Consumer Prices category ""Education (10)"" is a classification of services that includes educational services; education by radio or television broadcasting; literacy programs for students too old for primary school; out-of-school secondary education for adults and young people; out-of-school post-secondary non-tertiary education for adults and young people; and educational programs, generally for adults, which do not require any special prior instruction, in particular vocational training and cultural development.  Education (10) excludes expenditures on educational materials, such as books (09.5.1) and stationery (09.5.4), or education support services, such as health care services (06), transport services (07.3), catering services (11.1.2), accommodation services (11.2.0), driving lessons (07.2.4), and recreational training courses such as sport or bridge lessons given by independent teachers (09.4.1). The breakdown of educational services is based upon the level categories of the 1997 International Standard Classification of Education (ISCED-97) of the United Nations Educational, Scientific and Cultural Organization (UNESCO).  This covers COICOP groups 10.1/2/3/4. Levels 0 and 1 of ISCED-97 are pre-primary and primary education. Levels 2 and 3 of ISCED-97 are lower-secondary and upper-secondary education. Level 4 of ISCED-97 are post-secondary non-tertiary education. Levels 5 and 6 of ISCED-97 are first stage and second stage of tertiary education.  Information provided in the notes pertaining to HICP classifications can be found from the source at: http://ec.europa.eu/eurostat/cache/metadata/en/prc_hicp_esms.htm.  Copyright, European Union, 1995-2016, http://ec.europa.eu/geninfo/legal_notices_en.htm#copyright."
