id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
BSOBLV02ATM460S,2024-09-18,2024-09-18,Business Tendency Surveys: Order Books: Economic Activity: Manufacturing: Current for Austria,1963-03-01,2024-08-01,Monthly,M,Percentage balance,Percentage balance,Seasonally Adjusted,SA,2024-09-16 14:07:41-05:00,1,"OECD Data Filters:  REF_AREA: AUT MEASURE: OB UNIT_MEASURE: PB ACTIVITY: C ADJUSTMENT: Y TRANSFORMATION: _Z TIME_HORIZ: C METHODOLOGY: N FREQ: M  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
BSOBLV02AUQ460S,2024-09-18,2024-09-18,Business Tendency Surveys: Order Books: Economic Activity: Manufacturing: Current for Australia,1966-04-01,2024-04-01,Quarterly,Q,Percentage balance,Percentage balance,Seasonally Adjusted,SA,2024-07-15 14:10:32-05:00,1,"OECD Data Filters:  REF_AREA: AUS MEASURE: OB UNIT_MEASURE: PB ACTIVITY: C ADJUSTMENT: Y TRANSFORMATION: _Z TIME_HORIZ: C METHODOLOGY: N FREQ: Q  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
BSOBLV02BEM460S,2024-09-18,2024-09-18,Business Tendency Surveys: Order Books: Economic Activity: Manufacturing: Current for Belgium,1965-12-01,2024-08-01,Monthly,M,Percentage balance,Percentage balance,Seasonally Adjusted,SA,2024-09-16 14:07:41-05:00,1,"OECD Data Filters:  REF_AREA: BEL MEASURE: OB UNIT_MEASURE: PB ACTIVITY: C ADJUSTMENT: Y TRANSFORMATION: _Z TIME_HORIZ: C METHODOLOGY: N FREQ: M  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
BSOBLV02BRM460S,2024-09-18,2024-09-18,Business Tendency Surveys: Order Books: Economic Activity: Manufacturing: Current for Brazil,1980-01-01,2024-08-01,Monthly,M,Percentage balance,Percentage balance,Seasonally Adjusted,SA,2024-09-16 14:07:41-05:00,1,"OECD Data Filters:  REF_AREA: BRA MEASURE: OB UNIT_MEASURE: PB ACTIVITY: C ADJUSTMENT: Y TRANSFORMATION: _Z TIME_HORIZ: C METHODOLOGY: N FREQ: M  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
BSOBLV02BRQ460S,2024-09-18,2024-09-18,Business Tendency Surveys: Order Books: Economic Activity: Manufacturing: Current for Brazil,1980-01-01,2024-04-01,Quarterly,Q,Percentage balance,Percentage balance,Seasonally Adjusted,SA,2024-09-16 14:17:57-05:00,0,"OECD Data Filters:  REF_AREA: BRA MEASURE: OB UNIT_MEASURE: PB ACTIVITY: C ADJUSTMENT: Y TRANSFORMATION: _Z TIME_HORIZ: C METHODOLOGY: N FREQ: Q  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
BSOBLV02CHM460S,2024-09-18,2024-09-18,Business Tendency Surveys: Order Books: Economic Activity: Manufacturing: Current for Switzerland,1966-11-01,2024-08-01,Monthly,M,Percentage balance,Percentage balance,Seasonally Adjusted,SA,2024-09-16 14:18:11-05:00,0,"OECD Data Filters:  REF_AREA: CHE MEASURE: OB UNIT_MEASURE: PB ACTIVITY: C ADJUSTMENT: Y TRANSFORMATION: _Z TIME_HORIZ: C METHODOLOGY: N FREQ: M  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
BSOBLV02CLM460S,2024-09-18,2024-09-18,Business Tendency Surveys: Order Books: Economic Activity: Manufacturing: Current for Chile,2003-11-01,2024-07-01,Monthly,M,Percentage balance,Percentage balance,Seasonally Adjusted,SA,2024-09-16 14:07:41-05:00,1,"OECD Data Filters:  REF_AREA: CHL MEASURE: OB UNIT_MEASURE: PB ACTIVITY: C ADJUSTMENT: Y TRANSFORMATION: _Z TIME_HORIZ: C METHODOLOGY: N FREQ: M  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
BSOBLV02CNQ460N,2024-09-18,2024-09-18,Business Tendency Surveys for Manufacturing: Order Books: Level: European Commission and National Indicators for China (DISCONTINUED),2000-01-01,2011-10-01,Quarterly,Q,Net Percent,Net %,Not Seasonally Adjusted,NSA,2013-08-22 08:14:15-05:00,1,"OECD descriptor ID: BSOBLV02 OECD unit ID: ST OECD country ID: CHN  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
BSOBLV02CZM460S,2024-09-18,2024-09-18,Business Tendency Surveys: Order Books: Economic Activity: Manufacturing: Current for Czechia,1993-01-01,2024-08-01,Monthly,M,Percentage balance,Percentage balance,Seasonally Adjusted,SA,2024-09-16 14:07:41-05:00,1,"OECD Data Filters:  REF_AREA: CZE MEASURE: OB UNIT_MEASURE: PB ACTIVITY: C ADJUSTMENT: Y TRANSFORMATION: _Z TIME_HORIZ: C METHODOLOGY: N FREQ: M  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
BSOBLV02DEM460S,2024-09-18,2024-09-18,Business Tendency Surveys: Order Books: Economic Activity: Manufacturing: Current for Germany,1962-12-01,2024-08-01,Monthly,M,Percentage balance,Percentage balance,Seasonally Adjusted,SA,2024-09-16 14:07:41-05:00,1,"OECD Data Filters:  REF_AREA: DEU MEASURE: OB UNIT_MEASURE: PB ACTIVITY: C ADJUSTMENT: Y TRANSFORMATION: _Z TIME_HORIZ: C METHODOLOGY: N FREQ: M  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
